Year and control of institution,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Constant 2021-22 dollars,Current dollars,Current dollars,Current dollars,Current dollars,Current dollars,Current dollars,Current dollars,Current dollars,Current dollars,Current dollars,Current dollars,Current dollars
,"Total tuition, fees, room, and board","Total tuition, fees, room, and board","Total tuition, fees, room, and board",Tuition and required fees,Tuition and required fees,Tuition and required fees,Dormitory rooms,Dormitory rooms,Dormitory rooms,"Board","Board","Board","Total tuition, fees, room, and board","Total tuition, fees, room, and board","Total tuition, fees, room, and board",Tuition and required fees,Tuition and required fees,Tuition and required fees,Dormitory rooms,Dormitory rooms,Dormitory rooms,"Board","Board","Board"
,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year,All insti-tutions,4-year,2-year
1963-64 ,"11,411","11,760","7,091","4,648","5,053","1,566","2,582","2,548","1,912","4,182","4,160","3,612","1,248","1,286",775,508,553,171,282,279,209,457,455,395
1968-69 ,"11,533","12,219","8,326","4,715","5,403","1,980","2,849","2,848","2,585","3,970","3,968","3,761","1,459","1,545","1,053",596,683,250,360,360,327,502,502,476
1969-70 ,"11,647","12,501","8,133","4,817","5,637","1,847","2,906","2,926","2,590","3,925","3,939","3,696","1,560","1,674","1,089",645,755,247,389,392,347,526,528,495
1970-71 ,"11,733","12,668","7,954","4,885","5,777","1,771","2,973","2,995","2,623","3,875","3,895","3,560","1,653","1,784","1,120",688,814,249,419,422,369,546,549,501
1971-72 ,"11,860","12,868","8,031","4,961","5,931","1,719","3,049","3,073","2,679","3,850","3,864","3,632","1,730","1,878","1,172",724,865,251,445,448,391,562,564,530
1972-73 ,"12,085","13,379","8,406","5,003","6,261","1,890","3,214","3,244","2,733","3,868","3,874","3,783","1,834","2,031","1,276",759,950,287,488,492,415,587,588,574
1973-74 ,"11,511","12,686","8,217","4,813","5,956","1,987","2,997","3,024","2,599","3,702","3,707","3,631","1,903","2,097","1,358",796,985,328,495,500,430,612,613,600
1974-75 ,"10,799","11,907","7,795","4,407","5,489","1,784","2,875","2,901","2,506","3,516","3,517","3,505","1,983","2,187","1,432",809,"1,008",328,528,533,460,646,646,644
1975-76 ,"10,696","11,975","7,493","4,216","5,457","1,511","2,893","2,930","2,410","3,587","3,588","3,571","2,103","2,355","1,473",829,"1,073",297,569,576,474,705,706,702
1976-77 ,"10,933","12,382","7,678","4,440","5,855","1,660","2,899","2,935","2,416","3,593","3,593","3,602","2,275","2,577","1,598",924,"1,218",346,603,611,503,748,748,750
1977-78 ,"10,855","12,270","7,670","4,433","5,815","1,703","2,906","2,944","2,363","3,517","3,511","3,605","2,411","2,725","1,703",984,"1,291",378,645,654,525,781,780,801
1978-79 ,"10,650","12,011","7,526","4,416","5,751","1,692","2,832","2,863","2,367","3,401","3,397","3,467","2,587","2,917","1,828","1,073","1,397",411,688,696,575,826,825,842
1979-80 ,"10,204","11,505","7,191","4,224","5,496","1,638","2,728","2,758","2,281","3,252","3,251","3,271","2,809","3,167","1,979","1,163","1,513",451,751,759,628,895,895,900
